GO	GO_name	namespace	Gene_ID	Gene_Name	log2FC	p_fdr	pvalue	ratio_in_study	ratio_in_pop
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN9981_c0_g1_i5	TRINITY_DN9981_c0_g1_i5	9.65591907167719	0.012419571052211581	0.0001751458405867	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN13188_c0_g1_i8	TRINITY_DN13188_c0_g1_i8	7.709774230624459	0.012419571052211581	0.0095853394070919	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN2037_c0_g1_i11	TRINITY_DN2037_c0_g1_i11	9.697085063496294	0.012419571052211581	0.0001171063992229	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN7240_c0_g1_i18	TRINITY_DN7240_c0_g1_i18	10.34414901675168	0.012419571052211581	9.447350714297158e-05	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN7439_c0_g1_i3	TRINITY_DN7439_c0_g1_i3	10.990887052096724	0.012419571052211581	5.72093283355482e-06	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN21812_c0_g1_i3	TRINITY_DN21812_c0_g1_i3	8.629829005154763	0.012419571052211581	0.0024572454199908	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN4097_c0_g1_i3	TRINITY_DN4097_c0_g1_i3	9.615533407038564	0.012419571052211581	0.0002220638133635	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN402_c0_g1_i1	TRINITY_DN402_c0_g1_i1	11.31775776678492	0.012419571052211581	3.956220111593598e-06	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN787_c0_g1_i4	TRINITY_DN787_c0_g1_i4	10.942253622537551	0.012419571052211581	6.6482640897013535e-06	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN1283_c0_g1_i4	TRINITY_DN1283_c0_g1_i4	9.026238858047977	0.012419571052211581	0.0004882855058888	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN4617_c0_g1_i1	TRINITY_DN4617_c0_g1_i1	10.223058710198009	0.012419571052211581	4.459598122669263e-05	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN1362_c0_g2_i6	TRINITY_DN1362_c0_g2_i6	10.257564246573615	0.012419571052211581	2.792223169007068e-05	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN4373_c0_g1_i9	TRINITY_DN4373_c0_g1_i9	9.230631937232229	0.012419571052211581	0.0002859146575844	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN5415_c0_g1_i8	TRINITY_DN5415_c0_g1_i8	9.316688053440071	0.012419571052211581	0.0002814847056121	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN1204_c0_g1_i5	TRINITY_DN1204_c0_g1_i5	11.068429853593456	0.012419571052211581	5.349655928507651e-06	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN7108_c0_g1_i1	TRINITY_DN7108_c0_g1_i1	8.057040013678483	0.012419571052211581	0.005090159517197	0.020537124802527645	0.012433392539964476
GO:0018193	peptidyl-amino acid modification	BP	TRINITY_DN3073_c0_g1_i3	TRINITY_DN3073_c0_g1_i3	10.943598349873383	0.012419571052211581	2.0095168618944104e-05	0.020537124802527645	0.012433392539964476
